"","text","score"
"90","# Alien Worlds, Alien Encounters, more SET! Eclipse Comics (b 17912) https://t.co/dgKRGZd6qz https://t.co/BZt4LF8DBJ",0
"91","Sony PlayStation 2 Slim With MATRIX 1.99 Charcoal Black Console (SCPH-90001CB) https://t.co/rwtGHCB0Ea #game #sony… https://t.co/z2h0C0dITh",0
"95","eBay: LEGO Star Wars Poe's X-Wing Fighter (75102) https://t.co/cGhsRpOiXI #legoset #lego",0
"96","Look what I found on @eBay! https://t.co/TijYJ7L37D via @eBay",0
"97","[SALE] #crystal Serving Bowl (4.5 in diameter and 2.5 hiehgt) https://t.co/ZpHFJ9prH8 visit our ebay store https://t.co/LZMbpgEzla",0
"101","# Koppen Lightweight Super-Warm Down Insulated Winter Jacket women's Large https://t.co/RE21l33pcD https://t.co/tDLoGG6UxS",0
"105","Zodiac Indian Throw Art Tapestry Wall Hanging Hippie Astrology Mandala Bedspread @RoomyDeal @eBay_UK Buy:… https://t.co/8Aj6NF5EXg",0
"106","# Blue Fox Fur Jacket - Medium, Full Pelts, Coat, Softest, not mink, lynx, sable https://t.co/GMA2WCnTVJ https://t.co/4aRRWwpGvG",0
"107","@petatodd @Fabulousmag ..ah thanks, I feel an eBay search coming on xx",0
"109","Best Liver Detoxifying &amp; Protector
Milk Thistle Complex Herbal Tincture
100% Natural &amp; Safe
https://t.co/nHpHbR6cvm https://t.co/cH8Tav9hmG",0
"113","#Indians 2011 (ASTROS) Bowman Blue #20 #MichaelBourn/500 https://t.co/C7tSTMWoMh #MLB https://t.co/6IK34J01r9",0
"114","#Apparel #Baseball: #LosAngeles #Angels LA New Era 39THIRTY Neo Stretch Fit Flex Mesh Back #Cap #Hat… https://t.co/AuzhBkCQPg",0
"115","#NFL 2012 National Treasures #AndrewLuck NFL Gear Rc Auto /49 https://t.co/33YdMbfRq0 #ColtsNation https://t.co/Gd8e1GfjCp",0
"117","Check out THE TOUCH OF NINA SILVER HEELED SHOES SIZE 11 https://t.co/8wokOVqRzF @eBay",0
"118","#MLB #Indians 2010 Bowman Chrome #MichaelBrantley Auto RC Indians quantity https://t.co/EjLPiWM2PT #Baseball https://t.co/QEzdTdgQkI",0
